file,line,key,locator,claim_context,source_file,assessment
chapter01.tex,120,Dalton et al. (2026),S. 1--4,"Zur Beantwortung der Forschungsfragen wird ein empirisch-vergleichendes mit einem konstruktionsorientierten Vorgehen verbunden. Als Datengrundlage dient der öffentlich verfügbare PhreshPhish-Datensatz mit zeitlich verorteten URLs, gespeicherten HTML-Inhalten und Klassenlabels für legitime und phishingbezogene Webseiten (vgl. [Dalton et al. (2026), S. 1--4]).",dalton2026v2.pdf,"Verbindlich arXiv v2 vom 11.02.2026; URL/HTML und Ähnlichkeiten S. 1–3, Trennverfahren S. 5–6, Prävalenz/Metriken S. 6–8. Kein direkter Benchmark-Sieg aus umgerechneter Prävalenz."
chapter02.tex,6,Zhang et al. (2007),PDF-S. 1 und 3,"Phishing nutzt betrügerische E-Mails und Webseiten, um sensible Informationen zu erlangen; dazu können legitime Webseiten kopiert und für die Datenerfassung verändert werden (vgl. [Zhang et al. (2007), PDF-S. 1 und 3]). Die Täuschung beruht unter anderem darauf, dass Nutzer visuelle Inhalte als glaubwürdig wahrnehmen (vgl. [Dhamija et al. (2006), PDF-S. 1]).",zhang2007.pdf,"Unpaginierte Autorenfassung PDF-S. 1, 3: Webseitenimitation und CANTINA. Frühere Proceedingszahlen ersetzt."
chapter02.tex,6,Dhamija et al. (2006),PDF-S. 1,"Phishing nutzt betrügerische E-Mails und Webseiten, um sensible Informationen zu erlangen; dazu können legitime Webseiten kopiert und für die Datenerfassung verändert werden (vgl. [Zhang et al. (2007), PDF-S. 1 und 3]). Die Täuschung beruht unter anderem darauf, dass Nutzer visuelle Inhalte als glaubwürdig wahrnehmen (vgl. [Dhamija et al. (2006), PDF-S. 1]).",dhamija2006.pdf,"PDF-S. 1: 22 Teilnehmende, 20 Seiten, 23 % ignorieren Indikatoren, überzeugendste Seite täuscht 90 %. Historischer, kleiner Versuch explizit begrenzt."
chapter02.tex,8,Dhamija et al. (2006),PDF-S. 1,"Dhamija et al. untersuchten 22 Teilnehmende anhand von 20 Webseiten: 23 Prozent berücksichtigten browserbasierte Hinweise wie Adressleiste, Statusleiste oder Sicherheitsindikatoren nicht; die überzeugendste Phishing-Webseite täuschte 90 Prozent der Teilnehmenden (vgl. [Dhamija et al. (2006), PDF-S. 1]). Diese kleine Studie veranschaulicht die Täuschungswirkung, erlaubt aber keine Schätzung heutiger Erfolgsraten.",dhamija2006.pdf,"PDF-S. 1: 22 Teilnehmende, 20 Seiten, 23 % ignorieren Indikatoren, überzeugendste Seite täuscht 90 %. Historischer, kleiner Versuch explizit begrenzt."
chapter02.tex,10,ENISA (2025a),S. 8,"ENISA nennt Phishing für Juli 2024 bis Juni 2025 als häufigsten initialen Angriffsvektor und ordnet der breit gefassten Kategorie einschließlich Vishing, Malspam und Malvertising rund 60 Prozent der ausgewerteten Eintrittswege zu (vgl. [ENISA (2025a), S. 8]). Der Anteil bezieht sich somit nicht allein auf Phishing-Webseiten. Phishing-as-a-Service-Angebote erleichtern auch weniger versierten Akteuren die Durchführung von Kampagnen, etwa durch automatisiert erstellte Phishing-Kits und nachgebildete Anmeldeseiten (vgl. [ENISA (2025a), S. 11]).",enisa2025a.pdf,Version 1.2 Januar 2026; S. 8: breite 60-%-Kategorie einschließlich Vishing/Malspam/Malvertising; S. 11: Phishing-as-a-Service. Aussage nicht auf Webseiten beschränkt.
chapter02.tex,10,ENISA (2025a),S. 11,"ENISA nennt Phishing für Juli 2024 bis Juni 2025 als häufigsten initialen Angriffsvektor und ordnet der breit gefassten Kategorie einschließlich Vishing, Malspam und Malvertising rund 60 Prozent der ausgewerteten Eintrittswege zu (vgl. [ENISA (2025a), S. 8]). Der Anteil bezieht sich somit nicht allein auf Phishing-Webseiten. Phishing-as-a-Service-Angebote erleichtern auch weniger versierten Akteuren die Durchführung von Kampagnen, etwa durch automatisiert erstellte Phishing-Kits und nachgebildete Anmeldeseiten (vgl. [ENISA (2025a), S. 11]).",enisa2025a.pdf,Version 1.2 Januar 2026; S. 8: breite 60-%-Kategorie einschließlich Vishing/Malspam/Malvertising; S. 11: Phishing-as-a-Service. Aussage nicht auf Webseiten beschränkt.
chapter02.tex,12,ENISA (2025b),S.~3,"Für den europäischen Finanzsektor wertete ENISA 488 öffentlich berichtete Sicherheitsvorfälle von Januar 2023 bis Juni 2024 aus; Kreditinstitute bildeten mit 46~\% die am häufigsten betroffene Gruppe (vgl. [ENISA (2025b), S.~3]). Phishing, Smishing und Vishing richteten sich gegen Institute und Kunden; bei 36~\% der betrachteten Social-Engineering-Vorfälle wurden primär Kreditinstitute imitiert (vgl. [ENISA (2025b), S.~13]).",enisa2025b.pdf,"S. 3: 488 Vorfälle, 46 % Kreditinstitute; S. 13: Social Engineering und 36 % imitierte Kreditinstitute. Unterschiedliche Nenner erhalten."
chapter02.tex,12,ENISA (2025b),S.~13,"Für den europäischen Finanzsektor wertete ENISA 488 öffentlich berichtete Sicherheitsvorfälle von Januar 2023 bis Juni 2024 aus; Kreditinstitute bildeten mit 46~\% die am häufigsten betroffene Gruppe (vgl. [ENISA (2025b), S.~3]). Phishing, Smishing und Vishing richteten sich gegen Institute und Kunden; bei 36~\% der betrachteten Social-Engineering-Vorfälle wurden primär Kreditinstitute imitiert (vgl. [ENISA (2025b), S.~13]).",enisa2025b.pdf,"S. 3: 488 Vorfälle, 46 % Kreditinstitute; S. 13: Social Engineering und 36 % imitierte Kreditinstitute. Unterschiedliche Nenner erhalten."
chapter02.tex,17,Opara et al. (2024),S. 2,"\subsection{URL-, HTML-Text- und DOM-Daten als Informationsgrundlage} URL und HTML-Dokument liefern unterschiedliche Informationen über dieselbe Webseite: Die URL beschreibt deren Adresse, der HTML-Inhalt ergänzt semantische und strukturelle Eigenschaften (vgl. [Opara et al. (2024), S. 2]). Die Arbeit nutzt diese Informationsquellen in getrennten Modellzweigen.",opara2024.pdf,S. 2: gemeinsame Nutzung von URL und HTML im neuronalen Verfahren.
chapter02.tex,19,Yoon et al. (2024),S. 6--7,"Yoon et al. verarbeiten URLs sowohl als numerisch repräsentierte Zeichenfolgen als auch über eine wortbasierte Darstellung (vgl. [Yoon et al. (2024), S. 6--7]). Die URL kann damit unabhängig vom HTML-Inhalt als sequenzielle Eingabe dienen.",yoon2024.pdf,"S. 2, 6–7, 9, 13, 15: URL-Zeichen/Wörter, DOM-Graph, Strukturablation. Kein Beleg für eigene Architekturparameter erforderlich."
chapter02.tex,21,Yoon et al. (2024),S. 2,"Die Beziehungen zwischen HTML-Elementen lassen sich als Document Object Model (DOM) abbilden; Yoon et al. kombinieren einen HTML-DOM-Graphen mit URL-Repräsentationen (vgl. [Yoon et al. (2024), S. 2]). Im Folgenden werden entsprechend der textuelle HTML-Inhalt und die strukturelle DOM-Repräsentation unterschieden.",yoon2024.pdf,"S. 2, 6–7, 9, 13, 15: URL-Zeichen/Wörter, DOM-Graph, Strukturablation. Kein Beleg für eigene Architekturparameter erforderlich."
chapter02.tex,25,Purwanto et al. (2022),S. 1498,"Veränderungen von Phishing-Webseiten können die Übertragbarkeit zuvor trainierter Modelle einschränken (vgl. [Purwanto et al. (2022), S. 1498]). Eine hohe Leistung auf datensatznahen Testdaten genügt daher nicht als Nachweis der Erkennung zukünftiger Webseiten.",purwanto2022.pdf,S. 1498: Veränderlichkeit/Drift; S. 1506: Bedeutung niedriger FPR.
chapter02.tex,27,Dalton et al. (2026),S. 3,"Ähnliche Instanzen in Training und Test können die gemessene Generalisierungsleistung begünstigen (vgl. [Dalton et al. (2026), S. 3]). Die Evaluation dieser Arbeit berücksichtigt deshalb zeitliche und strukturelle Trennungen. Zusätzlich wird die Erkennung bei niedriger False-Positive-Rate betrachtet, einem für die Phishing-Erkennung relevanten Betriebspunkt (vgl. [Purwanto et al. (2022), S. 1506]).",dalton2026v2.pdf,"Verbindlich arXiv v2 vom 11.02.2026; URL/HTML und Ähnlichkeiten S. 1–3, Trennverfahren S. 5–6, Prävalenz/Metriken S. 6–8. Kein direkter Benchmark-Sieg aus umgerechneter Prävalenz."
chapter02.tex,27,Purwanto et al. (2022),S. 1506,"Ähnliche Instanzen in Training und Test können die gemessene Generalisierungsleistung begünstigen (vgl. [Dalton et al. (2026), S. 3]). Die Evaluation dieser Arbeit berücksichtigt deshalb zeitliche und strukturelle Trennungen. Zusätzlich wird die Erkennung bei niedriger False-Positive-Rate betrachtet, einem für die Phishing-Erkennung relevanten Betriebspunkt (vgl. [Purwanto et al. (2022), S. 1506]).",purwanto2022.pdf,S. 1498: Veränderlichkeit/Drift; S. 1506: Bedeutung niedriger FPR.
chapter02.tex,32,ENISA (2020),S. 7,"Auch im operativen Sicherheitsbetrieb zählt die False-Positive-Rate zu den Qualitätskennzahlen von Security Operations Centers und wird neben Kennzahlen wie der Anzahl von Eskalationen und dem Bearbeitungsaufwand pro Sicherheitsvorfall betrachtet (vgl. [ENISA (2020), S. 7]). Dieser Aspekt ist vor dem Hintergrund begrenzter betrieblicher Ressourcen besonders relevant, da fehlende Budgets und ein Mangel an IT-Sicherheitsspezialisten zu den identifizierten Herausforderungen kleiner und mittlerer Unternehmen zählen (vgl. [ENISA (2021), S. 14]).",enisa2020soc.pdf,"How to set up CSIRT and SOC, gedruckte S. 7: FPR, Eskalationen und Aufwand als KPIs. Falschen Bericht im Verzeichnis ersetzt."
chapter02.tex,35,ENISA (2021),S. 14,"Auch im operativen Sicherheitsbetrieb zählt die False-Positive-Rate zu den Qualitätskennzahlen von Security Operations Centers und wird neben Kennzahlen wie der Anzahl von Eskalationen und dem Bearbeitungsaufwand pro Sicherheitsvorfall betrachtet (vgl. [ENISA (2020), S. 7]). Dieser Aspekt ist vor dem Hintergrund begrenzter betrieblicher Ressourcen besonders relevant, da fehlende Budgets und ein Mangel an IT-Sicherheitsspezialisten zu den identifizierten Herausforderungen kleiner und mittlerer Unternehmen zählen (vgl. [ENISA (2021), S. 14]).",enisa2021sme.pdf,"Cybersecurity for SMEs, gedruckte S. 14: Budgets und Fachkräftemangel. Falschen Bericht im Verzeichnis ersetzt."
chapter02.tex,37,Gururangan et al. (2020),S. 8346--8347,"Task-Adaptive Pretraining setzt das selbstüberwachte Vortraining auf ungelabelten Trainingsdaten einer konkreten Downstream-Aufgabe fort und kann deren Leistung verbessern (vgl. [Gururangan et al. (2020), S. 8346--8347]). Dies motiviert die Untersuchung einer solchen Anpassung für URL und HTML-Text.",gururangan2020.pdf,S. 8342–8343 DAPT/MLM; S. 8346–8347 TAPT und Ergebnisse. Zusätzliche Anpassung ist kein universelles Verbesserungsversprechen.
chapter02.tex,43,Manning et al. (2008),S.~120--121,"In termbasierten Vektorraummodellen werden Dokumente durch Vektoren dargestellt, deren Dimensionen den Termen eines Wörterbuchs entsprechen (vgl. [Manning et al. (2008), S.~120--121]). Term Frequency-Inverse Document Frequency (TF-IDF) kombiniert die Häufigkeit eines Terms im Dokument mit seiner inversen Dokumenthäufigkeit im Korpus und gewichtet dadurch im Dokument häufige, im Korpus seltene Terme stärker (vgl. [Manning et al. (2008), S.~118--119]).",manning2008.pdf,Gedruckte S. 118–119 TF-IDF; 120–121 Vektorraummodell.
chapter02.tex,43,Manning et al. (2008),S.~118--119,"In termbasierten Vektorraummodellen werden Dokumente durch Vektoren dargestellt, deren Dimensionen den Termen eines Wörterbuchs entsprechen (vgl. [Manning et al. (2008), S.~120--121]). Term Frequency-Inverse Document Frequency (TF-IDF) kombiniert die Häufigkeit eines Terms im Dokument mit seiner inversen Dokumenthäufigkeit im Korpus und gewichtet dadurch im Dokument häufige, im Korpus seltene Terme stärker (vgl. [Manning et al. (2008), S.~118--119]).",manning2008.pdf,Gedruckte S. 118–119 TF-IDF; 120–121 Vektorraummodell.
chapter02.tex,45,Collobert et al. (2011),S.~2501,"Neuronale Modelle können diskreten Eingabeeinheiten trainierbare Vektoren zuordnen: Eine Lookup-Operation liest für jeden Vokabularindex den zugehörigen Merkmalsvektor aus einer trainierbaren Matrix aus (vgl. [Collobert et al. (2011), S.~2501]).",collobert2011.pdf,S. 2501 (PDF 9): trainierbare Lookup-Tabelle und numerische Eingaberepräsentation.
chapter02.tex,47,Collobert et al. (2011),S. 2501,"Für eine Eingabesequenz bilden die Vektoren der einzelnen Token die numerische Eingabe nachfolgender Netzwerkschichten (vgl. [Collobert et al. (2011), S. 2501]). Abbildung~\ref{fig:vektorraum} veranschaulicht diesen Übergang schematisch.",collobert2011.pdf,S. 2501 (PDF 9): trainierbare Lookup-Tabelle und numerische Eingaberepräsentation.
chapter02.tex,59,Collobert et al. (2011),S. 2501,"{\footnotesize Quelle: (Eigene Darstellung nach [Collobert et al. (2011), S. 2501]; [Turney und Pantel (2010), S. 141 und 148]; [Mikolov et al. (2013), S. 1]); KI-unterstützt.} \end{figure}",collobert2011.pdf,S. 2501 (PDF 9): trainierbare Lookup-Tabelle und numerische Eingaberepräsentation.
chapter02.tex,59,Turney und Pantel (2010),S. 141 und 148,"{\footnotesize Quelle: (Eigene Darstellung nach [Collobert et al. (2011), S. 2501]; [Turney und Pantel (2010), S. 141 und 148]; [Mikolov et al. (2013), S. 1]); KI-unterstützt.} \end{figure}",turney2010.pdf,"S. 141, 148: Vektorraummodelle und distributionelle Hypothese; Begriff auf S. 148 im Original verifiziert."
chapter02.tex,59,Mikolov et al. (2013),S. 1,"{\footnotesize Quelle: (Eigene Darstellung nach [Collobert et al. (2011), S. 2501]; [Turney und Pantel (2010), S. 141 und 148]; [Mikolov et al. (2013), S. 1]); KI-unterstützt.} \end{figure}",mikolov2013.pdf,PDF-interne S. 1: syntaktische/semantische Beziehungen. Frühere Proceedings-Seitenzahl 3111 ersetzt.
chapter02.tex,68,Turney und Pantel (2010),S. 148,"Die räumliche Anordnung in Abbildung~\ref{fig:vektorraum} verdeutlicht, dass gelernte Vektorrepräsentationen über eine reine numerische Kennzeichnung hinausgehen. Eine konzeptionelle Grundlage für die Interpretation solcher Repräsentationsräume bildet die distributionelle Annahme, nach der sprachliche Einheiten mit ähnlichen Verwendungskontexten tendenziell ähnliche Bedeutungen aufweisen (vgl. [Turney und Pantel (2010), S. 148]). Auch gelernte Wortrepräsentationen können syntaktische und semantische Beziehungen in ihren Vektoren abbilden (vgl. [Mikolov et al. (2013), S. 1]). Die dreidimensionale Darstellung in Abbildung \ref{fig:vektorraum} dient dabei ausschließlich der schematischen Visualisierung eines tatsächlich mehrdimensionalen Repräsentationsraums; die dargestellten Positionen und Gruppierungen stellen keine empirisch ermittelten Repräsentationen des in dieser Arbeit eingesetzten Modells dar.",turney2010.pdf,"S. 141, 148: Vektorraummodelle und distributionelle Hypothese; Begriff auf S. 148 im Original verifiziert."
chapter02.tex,71,Mikolov et al. (2013),S. 1,"Die räumliche Anordnung in Abbildung~\ref{fig:vektorraum} verdeutlicht, dass gelernte Vektorrepräsentationen über eine reine numerische Kennzeichnung hinausgehen. Eine konzeptionelle Grundlage für die Interpretation solcher Repräsentationsräume bildet die distributionelle Annahme, nach der sprachliche Einheiten mit ähnlichen Verwendungskontexten tendenziell ähnliche Bedeutungen aufweisen (vgl. [Turney und Pantel (2010), S. 148]). Auch gelernte Wortrepräsentationen können syntaktische und semantische Beziehungen in ihren Vektoren abbilden (vgl. [Mikolov et al. (2013), S. 1]). Die dreidimensionale Darstellung in Abbildung \ref{fig:vektorraum} dient dabei ausschließlich der schematischen Visualisierung eines tatsächlich mehrdimensionalen Repräsentationsraums; die dargestellten Positionen und Gruppierungen stellen keine empirisch ermittelten Repräsentationen des in dieser Arbeit eingesetzten Modells dar.",mikolov2013.pdf,PDF-interne S. 1: syntaktische/semantische Beziehungen. Frühere Proceedings-Seitenzahl 3111 ersetzt.
chapter02.tex,78,LeCun et al. (2015),S. 436,"Weitere parametrisierte Schichten können Eingaberepräsentationen schrittweise in höherstufige Merkmalsdarstellungen transformieren (vgl. [LeCun et al. (2015), S. 436]). Die Modellrepräsentation geht damit über die anfängliche Zuordnung eines Vektors zu einem Token hinaus.",lecun2015.pdf,S. 436: mehrschichtige Repräsentationsbildung.
chapter02.tex,85,Yoon et al. (2024),S. 9,"Für die vorliegende Arbeit bildet dieses Prinzip die Grundlage für die Verarbeitung der textuellen Eingabemodalitäten URL und HTML-Text. Die zusätzlich betrachtete DOM-Struktur bildet demgegenüber explizite Beziehungen zwischen HTML-Elementen ab und kann als Graph repräsentiert werden, in dem HTML-Elemente als Knoten und ihre Eltern-Kind-Beziehungen als Kanten modelliert werden (vgl. [Yoon et al. (2024), S. 9]). Neuronale und graphbasierte Verfahren zur weiterführenden Repräsentationsbildung werden im folgenden Abschnitt betrachtet.",yoon2024.pdf,"S. 2, 6–7, 9, 13, 15: URL-Zeichen/Wörter, DOM-Graph, Strukturablation. Kein Beleg für eigene Architekturparameter erforderlich."
